"Ноутбук ігровий Lenovo LOQ 15IAX9I (83FQ0044RA)",https://allo.ua/ua/products/notebooks/noutbuk-igrovoj-lenovo-loq-15iax9i-83fq0044ra.html,"34 999 ₴"
"Ноутбук Apple MacBook Air 13"" M2 256GB (MLY13) Starlight",https://allo.ua/ua/products/notebooks/apple-macbook-air-13-m2-256gb-mly13-starlight.html,"29 908 ₴"
"Ігровий ноутбук MSI GF63 THIN ""Seller Refurbished""",https://allo.ua/ua/products/notebooks/igrovoj-noutbuk-msi-gf63-thin-open-box.html,"21 599 ₴"
"Ноутбук ASUS Vivobook 16 M1605YA-MB022 (90NB10R1-M000W0)",https://allo.ua/ua/products/notebooks/noutbuk-asus-vivobook-16-m1605ya-mb022-90nb10r1-m000w0.html,"49 999 ₴"
"Ноутбук Lenovo IdeaPad 1 15AMN7 (82VG00QRRA)",https://allo.ua/ua/products/notebooks/noutbuk-lenovo-ideapad-1-15amn7-82vg00qrra.html,"44 999 ₴"
"Ноутбук ASUS TUF Gaming F15 FX507VU-LP174 (90NR0CJ7-M00J10)",https://allo.ua/ua/products/notebooks/noutbuk-asus-tuf-gaming-f15-fx507vu-lp174-90nr0cj7-m00j10.html,"55 499 ₴"
"Ноутбук ігровий Lenovo LOQ 15APH8 (82XT00FGRA)",https://allo.ua/ua/products/notebooks/noutbuk-igrovoj-lenovo-loq-15aph8-82xt00fgra.html,"48 999 ₴"
"Ноутбук Acer Aspire 3 A315-44P-R3FN (NX.KSJEU.003)",https://allo.ua/ua/products/notebooks/noutbuk-acer-aspire-3-a315-44p-r3fn-nx-ksjeu-003.html,"29 999 ₴"
"Ноутбук ігровий Dream Machines RG4050-15 (RG4050-15UA42)",https://allo.ua/ua/products/notebooks/noutbuk-igrovoj-dream-machines-rg4050-15-rg4050-15ua42.html,"22 999 ₴"
"Ноутбук ігровий HP Victus 16-s1007ua (A31WCEA)",https://allo.ua/ua/products/notebooks/noutbuk-igrovoj-hp-victus-16-s1007ua-a31wcea.html,"21 999 ₴"
"Ноутбук MSI CYBORG 15 (A12VF-1064XUA)",https://allo.ua/ua/products/notebooks/noutbuk-msi-cyborg-15-a12vf-1064xua.html,"17 499 ₴"
